game_id,season,week,season_type,home_team,home_conference,away_team,away_conference,pre_game_spread,predicted_spread,actual_spread,spread_pick,straight_pick,spread_result,straight_result
401112437,2019,2,regular,Virginia,ACC,William & Mary,MISSING,-32.5,-40.0,-35.0,Virginia,Virginia,Won,Won
401112447,2019,2,regular,Rice,Conference USA,Wake Forest,ACC,20.0,23.5,20.0,Wake Forest,Wake Forest,Push,Won
401114251,2019,2,regular,Boise State,Mountain West,Marshall,Conference USA,-13.5,-7.0,-7.0,Marshall,Boise State,Won,Won
401114154,2019,2,regular,Arizona State,Pac-12,Sacramento State,MISSING,-35.0,-18.0,-12.0,Sacramento State,Arizona State,Won,Won
401112445,2019,2,regular,Pittsburgh,ACC,Ohio,Mid-American,-4.0,-4.5,-10.0,Pittsburgh,Pittsburgh,Won,Won
401112202,2019,2,regular,Maryland,Big Ten,Syracuse,ACC,-1.0,-1.0,-43.0,Maryland,Maryland,Won,Won
401112252,2019,2,regular,Ohio State,Big Ten,Cincinnati,American Athletic,-15.0,-33.0,-42.0,Ohio State,Ohio State,Won,Won
401114254,2019,2,regular,Akron,Mid-American,UAB,Conference USA,7.5,11.0,11.0,UAB,UAB,Won,Won
401112192,2019,2,regular,Iowa,Big Ten,Rutgers,Big Ten,-17.5,-35.5,-30.0,Iowa,Iowa,Won,Won
401112223,2019,2,regular,Michigan,Big Ten,Army,FBS Independents,-22.0,1.5,-3.0,Army,Army,Won,Lost
401112446,2019,2,regular,Virginia Tech,ACC,Old Dominion,Conference USA,-28.5,-33.0,-14.0,Virginia Tech,Virginia Tech,Lost,Won
401112107,2019,2,regular,Kansas State,Big 12,Bowling Green,Mid-American,-25.0,-40.0,-52.0,Kansas State,Kansas State,Won,Won
401110782,2019,2,regular,South Carolina,SEC,Charleston Southern,MISSING,-36.5,-41.0,-62.0,South Carolina,South Carolina,Won,Won
401110781,2019,2,regular,Missouri,SEC,West Virginia,Big 12,-13.5,-26.5,-31.0,Missouri,Missouri,Won,Won
401110785,2019,2,regular,Purdue,Big Ten,Vanderbilt,SEC,-7.0,-2.0,-18.0,Vanderbilt,Purdue,Lost,Won
401117862,2019,2,regular,Memphis,American Athletic,Southern,MISSING,-41.0,-22.5,-31.0,Southern,Memphis,Won,Won
401112444,2019,2,regular,NC State,ACC,Western Carolina,MISSING,-41.0,-42.0,-41.0,NC State,NC State,Push,Won
401114224,2019,2,regular,Utah,Pac-12,Northern Illinois,Mid-American,-22.5,-16.5,-18.0,Northern Illinois,Utah,Won,Won
401112441,2019,2,regular,Georgia Tech,ACC,South Florida,American Athletic,-5.0,2.0,-4.0,South Florida,South Florida,Won,Lost
401119260,2019,2,regular,Ball State,Mid-American,Fordham,MISSING,-29.5,-20.5,-28.0,Fordham,Ball State,Won,Won
401119262,2019,2,regular,Miami (OH),Mid-American,Tennessee Tech,MISSING,-37.5,-40.5,-31.0,Miami (OH),Miami (OH),Lost,Won
401114354,2019,2,regular,UMass,FBS Independents,Southern Illinois,MISSING,-6.5,-1.5,25.0,Southern Illinois,UMass,Won,Lost
401112158,2019,2,regular,Indiana,Big Ten,Eastern Illinois,MISSING,-35.5,-44.0,-52.0,Indiana,Indiana,Won,Won
401112438,2019,2,regular,Boston College,ACC,Richmond,MISSING,-33.5,-44.0,-32.0,Boston College,Boston College,Lost,Won
401112146,2019,2,regular,Connecticut,American Athletic,Illinois,Big Ten,21.0,11.0,8.0,Connecticut,Illinois,Won,Won
401114250,2019,2,regular,Louisiana Tech,Conference USA,Grambling,MISSING,-30.5,-29.5,-6.0,Grambling,Louisiana Tech,Won,Won
401114247,2019,2,regular,Appalachian State,Sun Belt,Charlotte,Conference USA,-23.5,-21.5,-15.0,Charlotte,Appalachian State,Won,Won
401110780,2019,2,regular,Mississippi State,SEC,Southern Mississippi,Conference USA,-16.5,-38.5,-23.0,Mississippi State,Mississippi State,Won,Won
401112268,2019,2,regular,Wisconsin,Big Ten,Central Michigan,Mid-American,-35.0,-41.0,-61.0,Wisconsin,Wisconsin,Won,Won
401110784,2019,2,regular,Clemson,ACC,Texas A&M,SEC,-16.0,-7.5,-14.0,Texas A&M,Clemson,Won,Won
