game_id,season,week,season_type,home_team,home_conference,away_team,away_conference,pre_game_spread,predicted_spread,actual_spread,spread_pick,straight_pick,spread_result,straight_result
401121950,2019,7,regular,Louisiana,Sun Belt,Appalachian State,Sun Belt,-2.5,3.0,10.0,Appalachian State,Appalachian State,Won,Won
401112477,2019,7,regular,NC State,ACC,Syracuse,ACC,-4.0,-7.0,-6.0,NC State,NC State,Won,Won
401121951,2019,7,regular,Texas State,Sun Belt,Louisiana Monroe,Sun Belt,3.5,13.5,10.0,Louisiana Monroe,Louisiana Monroe,Won,Won
401112478,2019,7,regular,Miami,ACC,Virginia,ACC,-2.5,1.0,-8.0,Virginia,Virginia,Lost,Lost
401117522,2019,7,regular,New Mexico,Mountain West,Colorado State,Mountain West,5.0,8.5,14.0,Colorado State,Colorado State,Won,Won
401114186,2019,7,regular,Oregon,Pac-12,Colorado,Pac-12,-23.0,-33.5,-42.0,Oregon,Oregon,Won,Won
401110817,2019,7,regular,Georgia,SEC,South Carolina,SEC,-21.0,-6.0,3.0,South Carolina,Georgia,Won,Lost
401112206,2019,7,regular,Purdue,Big Ten,Maryland,Big Ten,4.0,13.0,-26.0,Maryland,Maryland,Lost,Lost
401117881,2019,7,regular,Temple,American Athletic,Memphis,American Athletic,4.0,5.5,-2.0,Memphis,Memphis,Lost,Lost
401110821,2019,7,regular,Tennessee,SEC,Mississippi State,SEC,5.0,1.0,-10.0,Tennessee,Mississippi State,Won,Lost
401112118,2019,7,regular,Texas,Big 12,Oklahoma,Big 12,11.0,8.5,7.0,Texas,Oklahoma,Won,Won
401112162,2019,7,regular,Indiana,Big Ten,Rutgers,Big Ten,-27.5,-39.0,-35.0,Indiana,Indiana,Won,Won
401119278,2019,7,regular,Western Michigan,Mid-American,Miami (OH),Mid-American,-12.5,-3.0,-22.0,Miami (OH),Western Michigan,Lost,Won
401112150,2019,7,regular,Illinois,Big Ten,Michigan,Big Ten,24.0,27.5,17.0,Michigan,Michigan,Lost,Won
401119280,2019,7,regular,Bowling Green,Mid-American,Toledo,Mid-American,27.0,27.0,-13.0,Bowling Green,Toledo,Won,Lost
401112480,2019,7,regular,Duke,ACC,Georgia Tech,ACC,-18.0,-19.5,-18.0,Duke,Duke,Push,Won
401119276,2019,7,regular,Eastern Michigan,Mid-American,Ball State,Mid-American,-2.0,2.0,6.0,Ball State,Ball State,Won,Won
401114283,2019,7,regular,Marshall,Conference USA,Old Dominion,Conference USA,-16.0,-9.5,-14.0,Old Dominion,Marshall,Won,Won
401114343,2019,7,regular,Central Michigan,Mid-American,New Mexico State,FBS Independents,-10.5,-15.5,-14.0,Central Michigan,Central Michigan,Won,Won
401112217,2019,7,regular,Wisconsin,Big Ten,Michigan State,Big Ten,-8.0,-21.0,-38.0,Wisconsin,Wisconsin,Won,Won
401114157,2019,7,regular,Arizona State,Pac-12,Washington State,Pac-12,2.5,1.0,-4.0,Arizona State,Washington State,Won,Lost
401117879,2019,7,regular,Houston,American Athletic,Cincinnati,American Athletic,9.5,10.0,15.0,Cincinnati,Cincinnati,Won,Won
401117214,2019,7,regular,South Florida,American Athletic,BYU,FBS Independents,4.5,7.5,-4.0,BYU,BYU,Lost,Lost
401119277,2019,7,regular,Akron,Mid-American,Kent State,Mid-American,14.0,11.0,23.0,Akron,Kent State,Lost,Won
401119279,2019,7,regular,Ohio,Mid-American,Northern Illinois,Mid-American,-5.0,1.0,3.0,Northern Illinois,Northern Illinois,Won,Won
401112479,2019,7,regular,Clemson,ACC,Florida State,ACC,-26.5,-37.5,-31.0,Clemson,Clemson,Won,Won
401110822,2019,7,regular,Texas A&M,SEC,Alabama,SEC,17.0,14.5,19.0,Texas A&M,Alabama,Lost,Won
401117880,2019,7,regular,Tulane,American Athletic,Connecticut,American Athletic,-34.0,-37.0,-42.0,Tulane,Tulane,Won,Won
401112078,2019,7,regular,Baylor,Big 12,Texas Tech,Big 12,-10.5,-2.5,-3.0,Texas Tech,Baylor,Won,Won
401112482,2019,7,regular,Virginia Tech,ACC,Rhode Island,MISSING,-28.0,-32.5,-17.0,Virginia Tech,Virginia Tech,Lost,Won
401117524,2019,7,regular,Nevada,Mountain West,San José State,Mountain West,-3.0,-4.5,-3.0,Nevada,Nevada,Push,Won
401110823,2019,7,regular,Vanderbilt,SEC,UNLV,Mountain West,-15.5,-19.0,24.0,Vanderbilt,Vanderbilt,Lost,Lost
401114280,2019,7,regular,Florida Atlantic,Conference USA,Middle Tennessee,Conference USA,-13.0,-6.0,-15.0,Middle Tennessee,Florida Atlantic,Lost,Won
401112089,2019,7,regular,West Virginia,Big 12,Iowa State,Big 12,9.5,6.5,24.0,West Virginia,Iowa State,Lost,Won
401121952,2019,7,regular,Coastal Carolina,Sun Belt,Georgia State,Sun Belt,-3.5,6.0,10.0,Georgia State,Georgia State,Won,Won
401114284,2019,7,regular,UT San Antonio,Conference USA,UAB,Conference USA,12.5,2.5,19.0,UT San Antonio,UAB,Lost,Won
401114279,2019,7,regular,Florida International,Conference USA,Charlotte,Conference USA,-6.0,-4.5,-25.0,Charlotte,Florida International,Lost,Won
401114285,2019,7,regular,Western Kentucky,Conference USA,Army,FBS Independents,5.5,4.5,-9.0,Western Kentucky,Army,Won,Lost
401114281,2019,7,regular,Louisiana Tech,Conference USA,UMass,FBS Independents,-31.5,-38.5,-48.0,Louisiana Tech,Louisiana Tech,Won,Won
