game_id,season,week,season_type,home_team,home_conference,away_team,away_conference,pre_game_spread,predicted_spread,actual_spread,spread_pick,straight_pick,spread_result,straight_result,start_date
401132973,2019,15,regular,Oregon,Pac-12,Utah,Pac-12,6.5,2.0,-22.0,Oregon,Utah,Won,Lost,2019-12-07 01:00:00+00:00
401132974,2019,15,regular,Oklahoma,Big 12,Baylor,Big 12,-9.5,-3.0,-7.0,Baylor,Oklahoma,Won,Won,2019-12-07 17:00:00+00:00
401132982,2019,15,regular,Central Michigan,Mid-American,Miami (OH),Mid-American,-6.5,-5.0,5.0,Miami (OH),Central Michigan,Won,Lost,2019-12-07 17:00:00+00:00
401132984,2019,15,regular,Appalachian State,Sun Belt,Louisiana,Sun Belt,-5.0,-13.0,-7.0,Appalachian State,Appalachian State,Won,Won,2019-12-07 17:00:00+00:00
401132980,2019,15,regular,Florida Atlantic,Conference USA,UAB,Conference USA,-8.0,-13.5,-43.0,Florida Atlantic,Florida Atlantic,Won,Won,2019-12-07 18:30:00+00:00
401132976,2019,15,regular,Memphis,American Athletic,Cincinnati,American Athletic,-9.0,8.0,-5.0,Cincinnati,Cincinnati,Won,Lost,2019-12-07 20:30:00+00:00
401132981,2019,15,regular,LSU,SEC,Georgia,SEC,-7.0,-19.0,-27.0,LSU,LSU,Won,Won,2019-12-07 21:00:00+00:00
401132979,2019,15,regular,Boise State,Mountain West,Hawai'i,Mountain West,-14.0,-15.5,-21.0,Boise State,Boise State,Won,Won,2019-12-07 21:00:00+00:00
401132975,2019,15,regular,Clemson,ACC,Virginia,ACC,-29.0,-36.5,-45.0,Clemson,Clemson,Won,Won,2019-12-08 00:30:00+00:00
401132983,2019,15,regular,Wisconsin,Big Ten,Ohio State,Big Ten,16.5,7.0,13.0,Wisconsin,Ohio State,Won,Won,2019-12-08 01:00:00+00:00
401114335,2019,15,regular,Navy,American Athletic,Army,FBS Independents,-11.5,-13.0,-24.0,Navy,Navy,Won,Won,2019-12-14 20:00:00+00:00
