game_id,season,week,season_type,home_team,home_conference,away_team,away_conference,pre_game_spread,predicted_spread,regression_spread_pred,classification_spread_pred,classification_confidence,actual_spread,start_date,spread_result,regression_spread_result,classification_spread_result
401234559,2020,2,regular,Miami,ACC,UAB,Conference USA,-15.5,-23.0,1,1,0.3390152,-17.0,2020-09-11 00:00:00+00:00,1,Won,Won
401240296,2020,2,regular,Baylor,Big 12,Louisiana Tech,Conference USA,-18.5,-1.0,0,0,0.5968966,0.0,2020-09-12 16:00:00+00:00,0,Won,Won
401234565,2020,2,regular,North Carolina,ACC,Syracuse,ACC,-24.0,-11.0,0,1,0.47367966,-25.0,2020-09-12 16:00:00+00:00,1,Lost,Won
401236053,2020,2,regular,Kansas State,Big 12,Arkansas State,Sun Belt,-14.5,-3.0,0,0,0.7046385,4.0,2020-09-12 16:00:00+00:00,0,Won,Won
401236081,2020,2,regular,Appalachian State,Sun Belt,Charlotte,Conference USA,-16.5,-7.5,0,0,0.5856667,-15.0,2020-09-12 16:00:00+00:00,0,Won,Won
401236221,2020,2,regular,Iowa State,Big 12,Louisiana,Sun Belt,-13.5,-4.0,0,1,0.43313676,17.0,2020-09-12 16:00:00+00:00,0,Won,Lost
401236038,2020,2,regular,West Virginia,Big 12,Eastern Kentucky,MISSING,-41.0,-35.5,0,1,0.36966753,-46.0,2020-09-12 16:00:00+00:00,1,Lost,Won
401240113,2020,2,regular,Army,FBS Independents,Louisiana Monroe,Sun Belt,-24.5,-15.0,0,0,0.5591529,-30.0,2020-09-12 17:30:00+00:00,1,Lost,Lost
401234574,2020,2,regular,Notre Dame,FBS Independents,Duke,ACC,-21.5,-14.5,0,0,0.53416973,-14.0,2020-09-12 18:30:00+00:00,0,Won,Won
401207113,2020,2,regular,Texas State,Sun Belt,UT San Antonio,Conference USA,-6.0,4.5,0,1,0.49419504,3.0,2020-09-12 19:30:00+00:00,0,Won,Lost
401240233,2020,2,regular,Pittsburgh,ACC,Austin Peay,MISSING,-30.5,-37.0,1,0,0.52067596,-55.0,2020-09-12 20:00:00+00:00,1,Won,Lost
401234563,2020,2,regular,Florida State,ACC,Georgia Tech,ACC,-12.5,-11.5,0,1,0.32878482,3.0,2020-09-12 20:00:00+00:00,0,Won,Lost
401215298,2020,2,regular,Georgia Southern,Sun Belt,Campbell,MISSING,-27.5,-28.5,1,0,0.57789075,-1.0,2020-09-12 20:14:00+00:00,0,Lost,Won
401236054,2020,2,regular,Oklahoma,Big 12,Missouri State,MISSING,-50.5,-50.5,1,1,0.45807552,-48.0,2020-09-12 23:00:00+00:00,0,Lost,Lost
401240039,2020,2,regular,South Florida,American Athletic,The Citadel,MISSING,-17.5,-26.5,1,1,0.37361807,-21.0,2020-09-12 23:00:00+00:00,1,Won,Won
401239973,2020,2,regular,South Alabama,Sun Belt,Tulane,American Athletic,11.5,6.5,1,0,0.58697146,3.0,2020-09-12 23:30:00+00:00,1,Won,Lost
401234562,2020,2,regular,Wake Forest,ACC,Clemson,ACC,34.5,15.5,1,0,0.6533591,24.0,2020-09-12 23:30:00+00:00,1,Won,Lost
401234564,2020,2,regular,Louisville,ACC,Western Kentucky,Conference USA,-13.0,-6.0,0,1,0.47964698,-14.0,2020-09-13 00:00:00+00:00,1,Lost,Won
401236039,2020,2,regular,Texas Tech,Big 12,Houston Baptist,MISSING,-40.0,-31.0,0,1,0.42108822,-2.0,2020-09-13 00:00:00+00:00,0,Won,Lost
401236222,2020,2,regular,Texas,Big 12,UTEP,Conference USA,-45.0,-31.5,0,0,0.55997777,-56.0,2020-09-13 00:00:00+00:00,1,Lost,Lost
401236658,2020,2,regular,Kansas,Big 12,Coastal Carolina,Sun Belt,-6.0,-0.5,0,0,0.6414845,15.0,2020-09-13 02:00:00+00:00,0,Won,Won
401236041,2020,2,regular,Oklahoma State,Big 12,Tulsa,American Athletic,-22.0,-8.5,0,1,0.43988764,0.0,2020-09-19 16:00:00+00:00,0,Won,Lost
